Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Agent Disposition with Data File,Chrome 64.0.3282.167,"This is for obtaining a baseline of the current Contact Center version. Agents will login, nailup, initiate agent, take a call through dispositioning, login and close the browser.",2018-02-19 08:50:53,2018-02-19 08:51:25,31.862s,PASSED
,,,,,,
Test Cases/Reggression/Agent Enrollment,Chrome 64.0.3282.167,"Agent login, nail up, takes call and fills out scripts, logs out and closes browser. \nSTEPS.\n1. Once agent is waiting for a call make sure that calls are coming into the queue, then the script should complete.",2018-02-19 08:50:53,2018-02-19 08:51:25,31.593s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-19 08:50:53,2018-02-19 08:50:55,2.071s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-19 08:50:55,2018-02-19 08:50:56,0.708s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:50:56,2018-02-19 08:50:56,0.066s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:50:56,2018-02-19 08:50:56,0.127s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:50:56,2018-02-19 08:50:56,0.107s,PASSED
sendKeys,Chrome 64.0.3282.167,,2018-02-19 08:50:56,2018-02-19 08:50:56,0.049s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:50:56,2018-02-19 08:50:59,2.595s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:50:59,2018-02-19 08:50:59,0.061s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:50:59,2018-02-19 08:51:00,0.607s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:00,2018-02-19 08:51:00,0.575s,PASSED
waitForElementNotVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:00,2018-02-19 08:51:05,5.157s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:05,2018-02-19 08:51:06,0.254s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:06,2018-02-19 08:51:06,0.573s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:51:06,2018-02-19 08:51:09,2.753s,PASSED
waitForElementClickable,Chrome 64.0.3282.167,,2018-02-19 08:51:09,2018-02-19 08:51:09,0.053s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:09,2018-02-19 08:51:09,0.062s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:09,2018-02-19 08:51:09,0.041s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:51:09,2018-02-19 08:51:09,0.103s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:51:09,2018-02-19 08:51:09,0.101s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:51:09,2018-02-19 08:51:09,0.117s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:09,2018-02-19 08:51:10,0.070s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:10,2018-02-19 08:51:10,0.035s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:51:10,2018-02-19 08:51:10,0.135s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:51:10,2018-02-19 08:51:10,0.137s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:10,2018-02-19 08:51:10,0.066s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:10,2018-02-19 08:51:10,0.035s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:51:10,2018-02-19 08:51:10,0.142s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:51:10,2018-02-19 08:51:10,0.151s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:10,2018-02-19 08:51:10,0.061s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:51:10,2018-02-19 08:51:10,0.155s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:10,2018-02-19 08:51:11,0.035s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-19 08:51:11,2018-02-19 08:51:11,0.113s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:11,2018-02-19 08:51:11,0.045s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:11,2018-02-19 08:51:11,0.036s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:11,2018-02-19 08:51:11,0.055s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:11,2018-02-19 08:51:12,1.084s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:12,2018-02-19 08:51:12,0.550s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:12,2018-02-19 08:51:12,0.058s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:12,2018-02-19 08:51:14,1.060s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:51:14,2018-02-19 08:51:14,0.157s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:51:14,2018-02-19 08:51:14,0.157s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:51:14,2018-02-19 08:51:14,0.173s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:14,2018-02-19 08:51:14,0.041s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:14,2018-02-19 08:51:14,0.075s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:14,2018-02-19 08:51:16,1.581s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:16,2018-02-19 08:51:16,0.084s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:16,2018-02-19 08:51:16,0.036s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-02-19 08:51:16,2018-02-19 08:51:16,0.158s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:16,2018-02-19 08:51:17,1.067s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:17,2018-02-19 08:51:17,0.033s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:17,2018-02-19 08:51:17,0.077s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:17,2018-02-19 08:51:18,1.063s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:18,2018-02-19 08:51:18,0.151s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:18,2018-02-19 08:51:20,1.564s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:20,2018-02-19 08:51:20,0.109s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:20,2018-02-19 08:51:20,0.047s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:20,2018-02-19 08:51:20,0.061s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-19 08:51:20,2018-02-19 08:51:24,4.317s,PASSED
click,Chrome 64.0.3282.167,,2018-02-19 08:51:24,2018-02-19 08:51:25,0.063s,PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-02-19 08:51:25,2018-02-19 08:51:25,0.088s,PASSED
